city,year_week,temp_mean,temp_max,temp_min,temp_range,precip_total,rain_total,snow_total,wind_max,gust_max,sunshine_hrs,rain_days,snow_days,is_rainy_week,is_snowy_week,is_cold,is_hot
Gävle,2024-W36,17.05,27.0,9.7,12.283333333333333,0.1,0.1,0.0,14.5,33.5,68.52582222222222,0,0,0,0,0,0
Gävle,2024-W37,13.457142857142857,24.4,5.1,8.328571428571427,22.8,22.8,0.0,24.0,53.3,65.50536111111111,2,0,0,0,0,0
Gävle,2024-W38,12.1,21.5,3.7,9.5,0.4,0.4,0.0,14.5,33.1,65.53025277777778,0,0,0,0,0,0
Gävle,2024-W39,10.157142857142857,17.9,2.9,5.714285714285714,27.2,27.2,0.0,25.8,54.0,42.58402222222222,2,0,0,0,0,0
Gävle,2024-W40,7.485714285714286,14.3,0.8,9.528571428571428,0.0,0.0,0.0,23.3,51.1,62.20041388888889,0,0,0,0,0,0
Gävle,2024-W41,8.142857142857142,12.0,2.9,4.314285714285714,46.2,45.7,0.35,22.2,46.1,19.427227777777777,3,0,1,0,0,0
Gävle,2024-W42,7.2,14.1,0.9,6.028571428571429,6.2,6.2,0.0,21.3,45.7,36.52234166666666,1,0,0,0,0,0
Gävle,2024-W43,9.700000000000001,14.7,4.9,4.214285714285714,5.6,5.6,0.0,32.2,77.4,47.28729444444444,1,0,0,0,0,0
Gävle,2024-W44,4.914285714285714,11.3,-1.0,6.014285714285714,4.7,4.7,0.0,29.2,65.2,37.35114166666666,1,0,0,0,0,0
Gävle,2024-W45,4.214285714285714,10.6,0.0,5.857142857142857,0.0,0.0,0.0,22.0,45.0,39.59373333333333,0,0,0,0,0,0
Gävle,2024-W46,4.271428571428571,10.2,0.2,4.885714285714285,1.6,1.6,0.0,29.6,62.6,33.33074722222222,0,0,0,0,0,0
Gävle,2024-W47,-3.185714285714286,4.3,-10.4,6.128571428571428,28.900000000000002,3.3,17.919999999999998,33.1,72.7,17.870180555555557,1,2,0,1,1,0
Gävle,2024-W48,3.1714285714285713,9.2,-5.8,4.7,12.6,12.6,0.0,29.4,61.2,2.720161111111111,3,0,1,0,0,0
Gävle,2024-W49,-2.6714285714285713,7.7,-10.5,5.085714285714286,12.6,5.8999999999999995,4.69,24.6,51.5,17.933725,1,2,0,1,1,0
Gävle,2024-W50,-2.6285714285714286,2.9,-9.6,6.285714285714286,6.1,3.8,1.6099999999999999,26.6,57.6,18.613197222222222,1,0,0,0,1,0
Gävle,2024-W51,0.3857142857142857,4.9,-5.4,4.557142857142858,14.2,6.5,5.39,28.3,64.4,10.909822222222223,1,2,0,1,0,0
Gävle,2024-W52,1.5857142857142856,6.0,-3.9,4.5,7.2,3.7,2.45,26.6,55.8,14.869766666666667,1,1,0,1,0,0
Gävle,2025-W01,-6.8999999999999995,4.8,-13.6,5.385714285714286,10.1,1.9,5.74,21.0,43.2,30.86154722222222,0,1,0,1,1,0
Gävle,2025-W02,-3.457142857142857,2.4,-13.3,5.871428571428572,21.599999999999998,2.3000000000000003,13.51,29.5,62.6,13.48556388888889,0,3,0,1,1,0
Gävle,2025-W03,2.0142857142857142,6.5,-10.2,5.985714285714286,1.1,1.1,0.0,33.4,68.0,18.102138888888888,0,0,0,0,0,0
Gävle,2025-W04,0.9714285714285714,4.4,-3.3,2.8999999999999995,15.0,6.2,6.16,29.3,60.8,19.27565,0,3,0,1,0,0
Gävle,2025-W05,-1.5714285714285714,2.9,-7.4,5.371428571428572,28.599999999999998,14.3,10.01,18.8,38.2,25.931391666666666,1,2,0,1,1,0
Gävle,2025-W06,-1.1,4.5,-7.1,4.514285714285714,4.699999999999999,0.1,3.22,23.7,49.0,22.364080555555553,0,1,0,1,1,0
Gävle,2025-W07,-5.228571428571429,2.8,-11.2,7.685714285714285,2.2,0.0,1.54,23.7,50.8,51.532494444444445,0,0,0,0,1,0
Gävle,2025-W08,-1.8571428571428572,6.1,-10.6,6.428571428571429,3.5,1.4,1.47,23.2,47.9,35.89447777777778,0,1,0,1,1,0
Gävle,2025-W09,2.8285714285714283,9.8,-3.3,6.3428571428571425,2.0,2.0,0.0,25.4,55.8,27.701583333333332,0,0,0,0,0,0
Gävle,2025-W10,6.442857142857143,14.7,-0.2,7.271428571428571,4.0,3.3,0.49,27.6,58.3,40.01432777777778,0,0,0,0,0,0
Gävle,2025-W11,-0.39999999999999997,6.2,-6.4,5.3,2.3,0.3,1.4,28.2,62.3,41.29631111111111,0,0,0,0,1,0
Gävle,2025-W12,2.9714285714285715,12.4,-4.6,10.142857142857142,0.6,0.0,0.42,26.4,54.4,68.57104722222222,0,0,0,0,0,0
Gävle,2025-W13,5.785714285714286,12.6,-5.3,8.871428571428572,2.0,2.0,0.0,32.2,70.2,57.16871388888889,0,0,0,0,0,0
Gävle,2025-W14,6.914285714285714,21.0,-0.6,11.171428571428569,1.3,0.1,0.84,22.4,54.0,73.93608611111111,0,0,0,0,0,0
Gävle,2025-W15,5.557142857142858,18.5,-3.1,10.085714285714285,1.5,1.4,0.07,27.2,61.2,72.73678055555555,0,0,0,0,0,0
Gävle,2025-W16,9.299999999999999,20.4,0.8,10.142857142857142,18.299999999999997,18.299999999999997,0.0,25.5,56.2,54.480647222222224,2,0,0,0,0,0
Gävle,2025-W17,4.757142857142857,16.8,-1.4,8.557142857142857,4.4,4.4,0.0,20.5,47.5,60.16173888888889,0,0,0,0,0,0
Gävle,2025-W18,9.314285714285715,16.3,2.6,8.014285714285714,11.5,10.5,0.7,29.7,68.0,75.71283611111112,3,0,1,0,0,0
Gävle,2025-W19,5.942857142857143,11.0,-0.4,7.585714285714286,4.4,4.4,0.0,22.1,49.7,61.964444444444446,1,0,0,0,0,0
Gävle,2025-W20,9.914285714285715,17.3,2.8,8.028571428571428,8.7,7.4,0.91,28.0,63.7,99.26811111111111,2,0,0,0,0,0
Gävle,2025-W21,9.671428571428573,23.5,3.3,8.428571428571429,18.7,18.7,0.0,30.1,61.9,81.07035,2,0,0,0,0,0
Gävle,2025-W22,13.485714285714286,20.4,4.9,9.657142857142857,10.1,10.1,0.0,25.8,57.2,97.5921361111111,1,0,0,0,0,0
Gävle,2025-W23,13.828571428571427,20.3,8.5,7.728571428571429,25.3,25.3,0.0,27.8,65.2,92.96257777777778,3,0,1,0,0,0
Gävle,2025-W24,14.657142857142857,27.0,5.9,9.87142857142857,18.1,18.1,0.0,18.2,41.4,102.39545277777778,3,0,1,0,0,0
Gävle,2025-W25,16.17142857142857,23.0,9.1,8.442857142857143,2.2,2.2,0.0,27.5,62.3,101.64067777777777,0,0,0,0,0,0
Gävle,2025-W26,15.114285714285714,22.5,9.9,7.2,33.8,33.8,0.0,22.2,50.4,67.07048055555555,3,0,1,0,0,0
Gävle,2025-W27,14.828571428571427,26.6,9.4,7.3428571428571425,43.5,43.5,0.0,26.6,56.2,62.95444722222222,4,0,1,0,0,0
Gävle,2025-W28,15.6,22.1,10.2,7.228571428571429,17.7,17.7,0.0,25.3,56.5,89.91887777777778,1,0,0,0,0,0
Gävle,2025-W29,18.74285714285714,27.8,12.9,9.328571428571431,7.4,7.4,0.0,18.6,43.9,116.90881666666667,2,0,0,0,0,0
Gävle,2025-W30,20.928571428571427,27.3,12.6,9.37142857142857,13.5,13.5,0.0,13.5,34.9,110.40975,1,0,0,0,0,1
Gävle,2025-W31,19.514285714285712,24.6,14.5,7.200000000000001,46.5,46.5,0.0,26.4,60.1,87.71937777777778,5,0,1,0,0,0
Gävle,2025-W32,17.37142857142857,22.9,11.6,7.771428571428571,7.9,7.9,0.0,29.9,66.6,98.02060833333334,2,0,0,0,0,0
Gävle,2025-W33,17.5,27.1,10.2,9.357142857142858,10.6,10.6,0.0,31.4,70.9,87.178175,1,0,0,0,0,0
Gävle,2025-W34,13.342857142857143,24.9,7.2,7.114285714285714,12.6,12.6,0.0,26.4,60.1,76.83704444444444,1,0,0,0,0,0
Gävle,2025-W35,13.614285714285714,20.7,6.6,7.885714285714286,0.6,0.6,0.0,23.6,51.8,81.20831388888888,0,0,0,0,0,0
Gävle,2025-W36,17.142857142857142,24.0,10.8,8.557142857142857,14.1,14.1,0.0,22.9,52.9,71.1357,1,0,0,0,0,0
Gävle,2025-W37,15.942857142857141,21.7,10.1,7.428571428571429,16.7,16.7,0.0,32.0,68.8,60.06106666666666,3,0,1,0,0,0
Gävle,2025-W38,14.257142857142856,19.3,8.3,6.671428571428571,39.7,39.7,0.0,28.4,62.3,63.933572222222224,3,0,1,0,0,0
Gävle,2025-W39,9.985714285714286,17.3,4.5,8.585714285714285,0.5,0.5,0.0,20.9,48.2,71.26837777777777,0,0,0,0,0,0
Gävle,2025-W40,8.700000000000001,14.0,3.6,7.071428571428571,13.799999999999999,13.799999999999999,0.0,28.1,75.2,52.72956944444445,2,0,0,0,0,0
Gävle,2025-W41,9.9,15.7,3.6,6.757142857142857,6.0,6.0,0.0,27.8,59.8,52.717730555555555,1,0,0,0,0,0
Gävle,2025-W42,5.271428571428571,14.2,-1.3,6.942857142857143,0.0,0.0,0.0,18.4,41.4,46.54017777777778,0,0,0,0,0,0
Gävle,2025-W43,8.0,12.2,0.7,4.442857142857143,19.6,19.6,0.0,21.0,47.9,24.520466666666668,3,0,1,0,0,0
Gävle,2025-W44,5.6000000000000005,9.3,3.0,3.4857142857142853,30.900000000000002,30.900000000000002,0.0,25.1,51.1,7.637822222222222,3,0,1,0,0,0
Gävle,2025-W45,8.871428571428572,13.4,4.4,3.614285714285714,6.0,6.0,0.0,23.2,48.2,4.288469444444445,1,0,0,0,0,0
Gävle,2025-W46,3.5714285714285716,10.7,-2.0,4.3428571428571425,5.1000000000000005,5.1000000000000005,0.0,27.8,57.2,22.022063888888887,1,0,0,0,0,0
Gävle,2025-W47,-3.1999999999999997,3.8,-11.0,5.128571428571428,8.4,2.2,4.34,22.7,46.8,18.944394444444445,1,2,0,1,1,0
Gävle,2025-W48,0.32857142857142857,7.5,-7.7,4.557142857142857,12.200000000000001,7.7,3.1500000000000004,29.4,62.3,15.194819444444445,1,2,0,1,0,0
Gävle,2025-W49,3.1999999999999997,5.3,0.7,2.2857142857142856,12.7,12.7,0.0,23.4,49.3,2.4645222222222225,1,0,0,0,0,0
Gävle,2025-W50,3.5285714285714285,6.8,-1.1,4.314285714285714,15.100000000000001,13.3,1.26,25.1,52.2,0.0,4,0,1,0,0,0
Gävle,2025-W51,5.8428571428571425,9.2,-0.2,4.285714285714286,11.600000000000001,11.600000000000001,0.0,25.8,53.6,9.600583333333333,2,0,0,0,0,0
Gävle,2025-W52,0.9142857142857144,7.2,-4.6,5.085714285714286,0.6,0.5,0.07,41.3,88.9,16.05438611111111,0,0,0,0,0,0
Gävle,2026-W01,-3.314285714285714,2.0,-8.0,3.542857142857143,46.7,0.2,32.55,36.0,75.2,12.814958333333333,0,4,0,1,1,0
Gävle,2026-W02,-7.314285714285715,-0.1,-17.8,8.285714285714286,20.2,0.0,14.14,22.6,46.1,6.3095944444444445,0,3,0,1,1,0
Gävle,2026-W03,-1.157142857142857,3.3,-8.4,4.757142857142857,18.5,5.2,9.31,20.1,41.4,3.712475,1,2,0,1,1,0
Gävle,2026-W04,-3.6285714285714286,0.7,-12.6,2.957142857142857,4.5,0.6,2.73,15.7,35.3,4.922938888888889,0,1,0,1,1,0
Gävle,2026-W05,-9.042857142857143,-4.5,-16.1,6.614285714285714,0.30000000000000004,0.1,0.14,15.4,32.8,16.281413888888892,0,0,0,0,1,0
Gävle,2026-W06,-10.085714285714285,-4.5,-20.5,7.042857142857144,0.9,0.9,0.0,17.8,38.5,16.578047222222224,0,0,0,0,1,0
Gävle,2026-W07,-9.0,-3.9,-19.5,6.285714285714286,0.5,0.1,0.28,19.1,37.1,24.462711111111112,0,0,0,0,1,0
Gävle,2026-W08,-7.628571428571428,1.5,-18.5,9.928571428571429,4.3,0.2,2.87,26.2,58.3,38.35235277777778,0,1,0,1,1,0
Gävle,2026-W09,-0.2714285714285714,6.2,-7.8,5.428571428571429,15.2,2.7,8.75,21.8,50.0,9.924991666666667,1,2,0,1,1,0
Gävle,2026-W10,2.414285714285714,8.8,-5.0,7.242857142857143,0.5,0.5,0.0,23.5,49.3,64.53431944444445,0,0,0,0,0,0
Gävle,2026-W11,4.4714285714285715,10.5,-0.3,5.6000000000000005,3.3000000000000003,3.3000000000000003,0.0,32.6,69.1,32.841094444444444,1,0,0,0,0,0
Gävle,2026-W12,5.528571428571429,12.8,-0.9,9.1,0.0,0.0,0.0,26.7,65.5,71.42582222222222,0,0,0,0,0,0
Gävle,2026-W13,4.828571428571428,10.8,-0.4,7.428571428571429,10.700000000000001,10.0,0.49,29.6,64.8,49.728027777777775,1,0,0,0,0,0
Gävle,2026-W14,3.7857142857142856,14.8,-1.2,6.685714285714285,18.1,10.3,5.46,23.4,51.5,36.29081666666667,2,2,0,1,0,0
Gävle,2026-W15,3.2142857142857144,10.2,-3.8,9.571428571428571,1.2,1.2,0.0,31.7,67.7,81.16929444444445,0,0,0,0,0,0
Gävle,2026-W16,5.6571428571428575,12.9,-1.8,10.242857142857144,0.0,0.0,0.0,17.1,40.7,86.18199166666666,0,0,0,0,0,0
Gävle,2026-W17,7.728571428571429,16.3,-1.1,10.171428571428573,6.199999999999999,2.6,2.52,28.5,63.7,90.02811944444444,0,1,0,1,0,0
Gävle,2026-W18,9.614285714285714,25.1,-0.2,11.12857142857143,2.4000000000000004,2.4000000000000004,0.0,21.9,50.8,79.96375833333333,0,0,0,0,0,0
Gävle,2026-W19,8.685714285714287,17.1,-0.4,11.642857142857142,2.8,2.5,0.21000000000000002,20.6,48.6,93.03624166666667,0,0,0,0,0,0
Gävle,2026-W20,7.942857142857143,15.4,4.1,5.971428571428571,32.6,32.6,0.0,23.5,54.0,64.17636388888889,4,0,1,0,0,0
Gävle,2026-W21,14.457142857142857,24.5,5.1,11.542857142857143,12.9,12.9,0.0,26.4,58.3,106.68713611111112,2,0,0,0,0,0
Gävle,2026-W22,13.6,22.1,7.8,9.685714285714285,4.9,4.9,0.0,33.7,76.3,104.14770555555556,1,0,0,0,0,0
Gävle,2026-W23,16.257142857142856,23.3,6.4,10.1,25.1,25.1,0.0,21.9,51.5,91.63425833333334,3,0,1,0,0,0
Gävle,2026-W24,15.200000000000001,23.7,9.1,8.6,43.6,43.6,0.0,28.0,63.4,98.4578361111111,2,0,0,0,0,0
Gävle,2026-W25,16.8,27.3,9.7,9.471428571428572,10.9,10.9,0.0,24.5,59.8,102.01304166666667,2,0,0,0,0,0
Gävle,2026-W26,18.314285714285713,29.4,10.3,9.1,2.2,2.2,0.0,21.0,47.5,96.33228055555556,1,0,0,0,0,0
Gävle,2026-W27,17.17142857142857,28.6,11.5,7.828571428571428,44.6,44.6,0.0,20.8,48.6,90.64975833333334,4,0,1,0,0,0
Gävle,2026-W28,15.971428571428572,26.1,8.5,9.200000000000001,5.6000000000000005,5.6000000000000005,0.0,19.7,45.4,119.7581111111111,1,0,0,0,0,0
Gävle,2026-W29,19.914285714285715,32.1,12.2,10.642857142857142,22.9,22.9,0.0,24.8,54.0,94.07674166666666,1,0,0,0,0,0
Gävle,2026-W30,15.785714285714286,23.3,10.0,7.1571428571428575,18.4,18.4,0.0,22.4,51.1,80.69351388888889,2,0,0,0,0,0
Gävle,2026-W31,18.842857142857145,28.7,11.4,10.314285714285715,3.5999999999999996,3.5999999999999996,0.0,23.5,61.2,106.41387222222222,0,0,0,0,0,0
Gävle,2026-W32,17.057142857142857,22.9,10.0,8.642857142857142,20.799999999999997,20.799999999999997,0.0,27.5,67.7,87.85686944444444,1,0,0,0,0,0
Gävle,2026-W33,17.014285714285712,27.3,9.4,10.285714285714286,23.9,23.9,0.0,22.2,51.1,88.76233611111111,3,0,1,0,0,0
Gävle,2026-W34,14.042857142857143,19.9,8.0,9.185714285714285,11.700000000000001,11.700000000000001,0.0,18.3,42.1,93.87226111111111,2,0,0,0,0,0
Gävle,2026-W35,15.514285714285714,22.1,8.6,9.3,13.100000000000001,13.100000000000001,0.0,19.3,42.5,75.55191666666667,2,0,0,0,0,0
Gävle,2026-W36,14.542857142857143,21.0,7.8,8.571428571428571,1.7000000000000002,1.7000000000000002,0.0,17.1,39.6,83.34865833333333,0,0,0,0,0,0
Gävle,2026-W37,13.028571428571428,20.7,8.8,6.328571428571428,116.70000000000002,71.10000000000001,0.0,29.0,60.8,53.186080555555556,2,0,0,0,0,0
Gävle,2026-W38,10.95,15.6,6.5,5.85,7.2,6.6,0.0,27.6,64.8,34.652725,1,0,0,0,0,0
Stockholm,2024-W36,18.083333333333332,25.3,10.9,10.1,0.1,0.1,0.0,14.3,33.1,70.18275555555556,0,0,0,0,0,0
Stockholm,2024-W37,14.328571428571427,21.9,7.9,6.457142857142856,23.700000000000003,23.700000000000003,0.0,26.1,52.9,54.076855555555554,2,0,0,0,0,0
